1720489092 1183,410 1037.0
1720489092 1182,410 916.0
1720489092 1181,410 1116.0
1720489092 1178,412 986.0
1720489092 1179,414 801.5
1720489092 1178,413 1064.5
1720489092 1179,415 1025.0
1720489092 1179,414 1129.5
1720489092 1179,415 1138.0
1720489092 1180,413 1128.5
1720489092 1179,414 1136.5
1720489092 1179,414 1173.0
1720489092 1176,414 1126.5
1720489093 1173,414 1136.5
1720489093 1170,416 1301.0
1720489093 1167,418 1235.0
1720489093 1160,420 1298.0
1720489093 1156,420 1421.0
1720489093 1151,422 1374.5
1720489093 1148,421 1495.5
1720489093 1145,421 1359.0
1720489093 1146,416 1502.0
1720489093 1145,415 1516.0
1720489093 1144,409 1679.0
1720489093 1147,404 1861.5
1720489093 1151,400 1837.0
1720489093 1156,398 1815.5
1720489093 1156,399 1778.0
1720489094 1161,396 2206.5
1720489094 1162,396 2101.5
1720489094 1167,394 2177.5
1720489094 1173,392 2390.5
1720489094 1181,389 2477.0
1720489094 1186,387 2458.5
1720489094 1197,382 2743.5
1720489094 1212,379 3004.5
1720489094 1225,375 3354.5
1720489094 1234,375 3651.0
1720489094 1243,377 3816.5
1720489094 1254,380 4307.5
1720489094 1269,383 4583.5
1720489094 1285,389 5021.5
1720489094 1298,388 5207.0
1720489094 1304,386 5846.0
1720489095 1298,385 5811.0
1720489095 1285,389 5929.0
1720489095 1265,395 5676.5
1720489095 1253,394 5454.5
1720489095 1231,390 4995.5
1720489095 1221,387 4826.5
1720489095 1207,377 4148.0
1720489095 1202,366 3776.5
1720489095 1203,360 3939.0
1720489095 1210,345 3165.5
1720489095 1224,338 3066.0
1720489095 1240,335 2727.0
1720489095 1256,340 2518.5
1720489095 1265,351 2180.5
1720489095 1270,369 1746.5
1720489095 1281,386 1820.5
1720489096 1287,394 1672.5
1720489096 1305,398 1469.5
1720489096 1327,399 1444.5
1720489096 1347,395 1576.0
1720489096 1362,390 1237.5
1720489096 1375,388 1342.5
1720489096 1387,385 1253.0
1720489096 1396,391 957.5
1720489096 1410,390 1182.5
1720489096 1422,394 1313.5
1720489096 1435,399 1212.5
1720489096 1437,400 1100.5
1720489096 1442,398 1396.0
1720489096 1452,390 943.0
1720489096 1454,388 745.0
1720489097 1447,383 1050.0
1720489097 1448,385 887.0
1720489097 1448,387 835.0
1720489097 1448,392 895.0
1720489097 1451,392 714.0
1720489097 1449,395 1198.0
1720489097 1442,400 703.5
1720489097 1439,395 715.5
1720489097 1424,395 1025.5
1720489097 1412,395 1042.0
1720489097 1399,397 1051.0
1720489097 1387,400 801.0
1720489097 1384,400 871.5
1720489097 1380,403 1019.0
1720489097 1378,405 923.0
1720489098 1376,407 832.0
1720489098 1375,408 947.0
1720489098 1373,410 985.0
1720489098 1368,412 982.5
1720489098 1362,414 819.5
1720489098 1357,415 791.0
1720489098 1349,418 933.0
1720489098 1347,418 894.0
1720489098 1341,419 758.0
1720489098 1338,421 854.0
1720489098 1333,421 759.0
1720489098 1329,424 835.0
1720489098 1324,425 644.5
1720489098 1321,428 772.5
1720489098 1319,429 726.5
1720489098 1318,433 766.0
1720489098 1314,432 784.0
1720489099 1313,434 756.5
1720489099 1310,436 781.0
1720489099 1307,437 764.0
1720489099 1304,437 780.0
1720489099 1303,437 692.5
1720489099 1302,436 708.5
1720489099 1302,436 694.5
1720489099 1304,437 747.5
1720489099 1303,437 771.5
1720489099 1303,438 760.5
1720489099 1303,438 743.0
1720489099 1302,437 723.5
1720489099 1302,439 783.0
1720489099 1302,437 731.0
1720489099 1302,437 722.0
1720489099 1301,438 795.0
1720489100 1299,437 806.0
1720489100 1297,437 735.5
1720489100 1295,435 794.5
1720489100 1290,433 831.0
1720489100 1285,430 790.5
1720489100 1275,429 929.0
1720489100 1265,426 904.0
1720489100 1255,425 925.0
1720489100 1248,425 929.5
1720489100 1234,425 929.5
1720489100 1222,424 789.5
1720489100 1212,422 1014.0
1720489100 1206,422 1084.5
1720489100 1208,419 1077.0
1720489100 1203,414 1251.5
1720489100 1201,408 1508.5
1720489101 1197,401 1605.5
1720489101 1194,399 1607.0
1720489101 1197,398 1883.5
1720489101 1201,398 1766.5
1720489101 1209,400 1884.0
1720489101 1222,403 2430.5
1720489101 1229,408 2737.5
1720489101 1232,418 2368.0
1720489101 1235,428 3279.5
1720489101 1230,444 3350.5
1720489101 1226,459 3761.0
1720489101 1226,475 4122.0
1720489101 1232,487 4557.0
1720489101 1242,500 4952.5
1720489101 1256,513 5296.5
1720489102 1266,524 5489.5
1720489102 1277,535 6080.0
1720489102 1287,538 6744.0
1720489102 1298,541 8075.0
1720489102 1313,538 8789.5
1720489102 1331,535 9357.5
1720489102 1345,536 9796.0
1720489102 1348,537 10306.0
1720489102 1343,532 10766.0
1720489102 1339,530 11437.0
1720489102 1328,529 12030.5
1720489102 1316,532 13183.0
1720489102 1304,530 13759.0
1720489102 1291,523 14630.0
1720489102 1275,511 14901.0
1720489102 1264,502 15689.5
1720489103 1258,502 16210.5
1720489103 1257,516 17441.0
1720489103 1258,539 18826.5
1720489103 1265,570 19620.0
1720489103 1268,585 19978.0
1720489103 1268,619 21266.5
1720489103 1268,641 22451.5
1720489103 1270,648 22502.5
1720489103 1280,656 22956.0
1720489103 1294,655 23425.0
1720489103 1311,652 23552.5
1720489103 1326,643 23332.5
1720489103 1339,632 23164.0
1720489103 1345,626 23265.0
1720489103 1351,616 23235.5
1720489103 1351,612 23499.0
1720489104 1346,616 24303.0
1720489104 1324,630 24637.0
1720489104 1279,651 26367.0
1720489104 1221,669 29015.5
1720489104 1155,676 31112.0
1720489104 1092,661 33546.5
1720489104 1022,644 34834.5
1720489104 988,641 36493.5
1720489104 932,640 37423.5
1720489104 904,646 36781.0
1720489104 903,648 36382.5
1720489104 915,654 35792.5
1720489104 927,657 35081.5
1720489104 932,660 34808.0
1720489104 938,665 34752.0
1720489104 940,669 33991.0
1720489104 939,669 34003.5
1720489105 939,665 33025.0
1720489105 941,659 32352.0
1720489105 944,655 31640.5
1720489105 957,639 29320.5
1720489105 975,617 25686.5
1720489105 1005,587 21311.5
1720489105 1021,572 18940.5
1720489105 1035,551 15192.5
1720489105 1041,531 12264.0
1720489105 1042,524 10998.5
1720489105 1044,516 9495.5
1720489105 1042,515 8700.0
1720489105 1033,509 7434.0
1720489105 1019,503 6793.5
1720489105 1012,501 6256.0
1720489105 1003,495 5438.0
1720489105 999,487 4986.0
1720489106 1003,480 4421.5
1720489106 1006,472 3827.0
1720489106 1013,466 3532.5
1720489106 1030,465 3218.5
1720489106 1050,464 3094.5
1720489106 1073,466 2889.0
1720489106 1084,467 2824.0
1720489106 1105,468 2713.5
1720489106 1118,467 2775.0
1720489106 1136,471 2658.0
1720489106 1152,475 2587.0
1720489106 1161,480 2752.5
1720489106 1171,484 2602.5
1720489106 1178,485 2571.5
1720489106 1185,483 2657.5
1720489106 1190,484 2570.5
1720489107 1189,486 2525.0
1720489107 1190,487 2658.0
1720489107 1188,488 2539.5
1720489107 1188,488 2812.0
1720489107 1186,488 2768.5
1720489107 1185,491 2550.5
1720489107 1184,492 2645.0
1720489107 1184,495 2618.5
1720489107 1186,496 2687.5
1720489107 1187,495 2599.5
1720489107 1190,493 2434.0
1720489107 1192,496 2450.0
1720489107 1192,497 2391.5
1720489107 1191,496 2254.5
1720489107 1197,492 2248.5
1720489107 1198,491 2126.0
1720489107 1201,486 1832.5
1720489108 1202,478 1689.0
1720489108 1205,467 1392.0
1720489108 1208,461 1452.0
1720489108 1219,450 942.0
1720489108 1229,437 1019.0
1720489108 1244,432 630.5
1720489108 200,56 2367.5
1720489108 1260,416 677.5
1720489108 1262,405 558.5
1720489108 1261,400 598.5
1720489108 1258,387 419.5
1720489108 1246,378 756.0
1720489108 1242,369 604.5
1720489108 1239,368 419.5
1720489108 1247,371 505.0
1720489108 1254,374 464.0
1720489109 219,279 121.0
1720489109 1276,399 501.0
1720489109 1290,409 287.0
1720489109 1300,418 241.5
1720489109 1314,431 434.5
1720489109 198,103 1031.5
1720489109 270,654 598.5
1720489109 1345,451 461.5
1720489109 1348,452 486.0
1720489109 1345,450 498.0
1720489109 1340,447 324.0
1720489109 1335,447 471.5
1720489109 1329,444 447.0
1720489109 1322,443 427.5
1720489109 1320,440 461.0
1720489110 1315,439 476.5
1720489110 1312,439 416.5
1720489110 1311,439 541.0
1720489110 1310,437 407.0
1720489110 1307,440 443.5
1720489110 1303,442 460.5
1720489110 1299,445 522.0
1720489110 1295,448 478.0
1720489110 1294,449 469.0
1720489110 1294,449 434.5
1720489110 1295,447 468.5
1720489110 1300,446 488.0
1720489110 1304,449 500.0
1720489110 1309,448 391.0
1720489110 1313,450 583.5
1720489110 1317,451 507.0
1720489110 1317,453 391.5
1720489110 1318,455 386.0
1720489111 1318,458 499.0
1720489111 1315,461 476.5
1720489111 1311,465 308.0
1720489111 1306,466 417.5
1720489111 1301,466 358.0
1720489111 1297,468 355.5
1720489111 1291,464 307.0
1720489111 1286,465 307.5
1720489111 1279,466 218.5
1720489111 87,67 43.0
1720489111 1275,464 265.5
1720489111 1272,464 395.5
1720489111 1272,466 295.0
1720489111 1270,463 373.0
1720489111 1269,465 307.0
1720489112 1266,465 301.0
1720489112 257,656 242.5
1720489112 1264,466 180.5
1720489112 1263,469 201.5
1720489112 1262,472 293.0
1720489112 269,655 764.0
1720489112 1260,474 145.5
1720489112 1258,476 137.5
1720489112 1260,473 231.5
1720489112 209,68 837.5
1720489112 1267,471 172.0
1720489112 1273,470 132.0
1720489112 193,101 287.0
1720489112 1281,468 161.0
1720489112 1281,470 152.5
1720489113 270,170 804.0
1720489113 1283,480 229.5
1720489113 85,143 50.0
1720489113 1280,485 199.5
1720489113 215,19 318.0
1720489113 346,311 20.0
1720489113 273,663 170.0
1720489113 271,654 743.0
1720489113 1272,497 151.5
1720489113 1271,501 143.0
1720489113 1274,498 6.5
1720489113 274,654 58.5
1720489113 37,289 84.0
1720489113 227,103 216.5
1720489113 1274,488 195.0
1720489113 33,387 638.5
1720489114 1279,475 91.0
1720489114 6,311 114.5
1720489114 212,15 252.5
1720489114 440,835 126.5
1720489114 201,55 156.0
1720489114 1729,1015 92.0
1720489114 256,654 114.0
1720489114 278,654 290.0
1720489114 9,310 203.0
1720489114 1248,456 234.0
1720489114 203,39 447.5
1720489114 213,655 33.0
1720489114 1581,696 259.5
1720489114 201,85 39.5
1720489114 1846,687 347.0
1720489114 1255,471 258.0
1720489114 180,121 64.0
1720489115 1252,467 93.5
1720489115 1711,1061 23.0
1720489115 1250,471 8.5
1720489115 255,655 114.0
1720489115 1245,476 141.5
1720489115 216,67 140.5
1720489115 1588,697 456.0
1720489115 1237,475 31.0
1720489115 1232,480 186.5
1720489115 1227,482 160.5
1720489115 1221,482 275.0
1720489115 55,298 327.0
1720489115 1213,483 226.0
1720489115 1207,485 331.0
1720489115 1851,724 386.0
1720489116 194,126 377.5
1720489116 271,657 481.0
1720489116 1193,492 340.5
1720489116 1192,494 306.0
1720489116 1190,496 210.0
1720489116 1185,495 159.5
1720489116 1186,496 248.5
1720489116 20,417 364.0
1720489116 1186,496 79.5
1720489116 1188,491 207.5
1720489116 1187,496 227.5
1720489116 1189,493 175.5
1720489116 1188,496 291.0
1720489116 1187,491 288.0
1720489117 1189,491 251.0
1720489117 1189,493 295.0
1720489117 1189,492 361.5
1720489117 1190,494 288.0
1720489117 201,83 1951.0
1720489117 273,194 889.0
1720489117 1189,495 316.0
1720489117 1188,495 306.5
1720489117 1186,494 196.5
1720489117 1183,497 217.0
1720489117 1182,494 272.5
